,action
2020-01-10,9
2020-01-17,9
2020-01-24,5
2020-01-31,5
2020-02-07,5
2020-02-14,5
2020-02-21,5
2020-02-28,5
2020-03-06,9
2020-03-13,5
2020-03-20,5
2020-03-27,11
2020-04-03,12
2020-04-10,8
2020-04-17,5
2020-04-24,5
2020-05-01,11
2020-05-08,11
2020-05-15,11
2020-05-22,5
2020-05-29,11
2020-06-05,5
2020-06-12,11
2020-06-19,11
2020-06-26,11
2020-07-03,11
2020-07-10,11
2020-07-17,11
2020-07-24,4
2020-07-31,4
2020-08-07,5
2020-08-14,5
2020-08-21,5
2020-08-28,4
2020-09-04,4
2020-09-11,12
2020-09-18,4
2020-09-25,5
2020-10-02,4
2020-10-09,4
2020-10-16,7
2020-10-23,4
2020-10-30,4
2020-11-06,4
2020-11-13,12
2020-11-20,7
2020-11-27,10
2020-12-04,9
2020-12-11,9
2020-12-18,9
2020-12-25,9
2021-01-01,9
2021-01-08,9
2021-01-15,9
2021-01-22,12
2021-01-29,12
2021-02-05,12
2021-02-12,10
2021-02-19,9
2021-02-26,9
2021-03-05,12
2021-03-12,12
2021-03-19,7
2021-03-26,12
2021-04-02,7
2021-04-09,12
2021-04-16,12
2021-04-23,2
2021-04-30,2
2021-05-07,9
2021-05-14,10
2021-05-21,9
2021-05-28,10
2021-06-04,12
2021-06-11,9
2021-06-18,9
2021-06-25,9
2021-07-02,12
2021-07-09,12
2021-07-16,9
2021-07-23,12
2021-07-30,9
2021-08-06,9
2021-08-13,9
2021-08-20,12
2021-08-27,12
2021-09-03,1
2021-09-10,1
2021-09-17,10
2021-09-24,4
2021-10-01,7
2021-10-08,12
2021-10-15,12
2021-10-22,12
2021-10-29,4
2021-11-05,4
2021-11-12,4
2021-11-19,8
2021-11-26,4
2021-12-03,4
2021-12-10,12
2021-12-17,12
2021-12-24,4
2021-12-31,0
2022-01-07,4
2022-01-14,4
2022-01-21,4
2022-01-28,4
2022-02-04,12
2022-02-11,4
2022-02-18,4
2022-02-25,4
2022-03-04,1
2022-03-11,1
2022-03-18,9
2022-03-25,12
2022-04-01,12
2022-04-08,12
2022-04-15,12
2022-04-22,10
2022-04-29,10
2022-05-06,10
2022-05-13,10
2022-05-20,10
2022-05-27,6
2022-06-03,6
2022-06-10,6
2022-06-17,12
2022-06-24,6
2022-07-01,6
2022-07-08,6
2022-07-15,6
2022-07-22,11
2022-07-29,11
2022-08-05,2
2022-08-12,2
2022-08-19,2
2022-08-26,2
2022-09-02,11
2022-09-09,10
2022-09-16,11
2022-09-23,12
2022-09-30,10
2022-10-07,10
2022-10-14,10
2022-10-21,6
2022-10-28,6
2022-11-04,6
2022-11-11,6
2022-11-18,6
2022-11-25,6
2022-12-02,2
2022-12-09,2
2022-12-16,9
2022-12-23,2
2022-12-30,2
2023-01-06,12
2023-01-13,12
2023-01-20,2
2023-01-27,2
2023-02-03,2
2023-02-10,9
2023-02-17,10
2023-02-24,12
2023-03-03,12
2023-03-10,1
2023-03-17,1
2023-03-24,6
2023-03-31,9
2023-04-07,9
2023-04-14,9
2023-04-21,9
2023-04-28,9
2023-05-05,12
2023-05-12,9
2023-05-19,5
2023-05-26,5
2023-06-02,12
2023-06-09,0
2023-06-16,5
2023-06-23,12
2023-06-30,8
2023-07-07,4
2023-07-14,4
2023-07-21,4
2023-07-28,8
2023-08-04,6
2023-08-11,2
2023-08-18,2
2023-08-25,12
2023-09-01,1
2023-09-08,1
2023-09-15,2
2023-09-22,12
2023-09-29,2
2023-10-06,1
2023-10-13,1
2023-10-20,1
2023-10-27,1
2023-11-03,1
2023-11-10,1
2023-11-17,8
2023-11-24,12
2023-12-01,9
2023-12-08,9
2023-12-15,9
2023-12-22,9
2023-12-29,9
2024-01-05,9
2024-01-12,9
2024-01-19,10
2024-01-26,9
2024-02-02,12
2024-02-09,12
2024-02-16,5
2024-02-23,5
2024-03-01,5
2024-03-08,5
2024-03-15,5
2024-03-22,1
2024-03-29,6
2024-04-05,1
2024-04-12,5
2024-04-19,0
2024-04-26,12
2024-05-03,12
2024-05-10,12
2024-05-17,5
2024-05-24,5
2024-05-31,5
2024-06-07,9
2024-06-14,12
2024-06-21,12
2024-06-28,9
2024-07-05,9
2024-07-12,5
2024-07-19,5
2024-07-26,5
2024-08-02,5
2024-08-09,5
2024-08-16,9
2024-08-23,5
2024-08-30,5
2024-09-06,5
2024-09-13,5
2024-09-20,5
2024-09-27,5
2024-10-04,5
2024-10-11,5
2024-10-18,5
2024-10-25,5
2024-11-01,5
2024-11-08,12
2024-11-15,12
2024-11-22,5
2024-11-29,12
2024-12-06,8
2024-12-13,8
2024-12-20,8
2024-12-27,4
2025-01-03,1
2025-01-10,1
2025-01-17,1
2025-01-24,1
2025-01-31,2
2025-02-07,9
2025-02-14,9
2025-02-21,9
2025-02-28,9
2025-03-07,9
2025-03-14,9
2025-03-21,2
2025-03-28,2
2025-04-04,9
2025-04-11,12
2025-04-18,12
2025-04-25,12
2025-05-02,12
2025-05-09,2
2025-05-16,2
2025-05-23,2
2025-05-30,2
2025-06-06,12
2025-06-13,2
2025-06-20,12
2025-06-27,2
2025-07-04,2
2025-07-11,9
2025-07-18,9
2025-07-25,12
2025-08-01,12
2025-08-08,12
2025-08-15,12
2025-08-22,9
2025-08-29,9
