,net_ret
2020-01-10,0.0006203463721220439
2020-01-17,0.002339807602081059
2020-01-24,-0.0020700972823012465
2020-01-31,-0.0023078534157313186
2020-02-07,0.0023097542602563462
2020-02-14,0.004989162008799706
2020-02-21,0.007413716667571758
2020-02-28,-0.024073767618951532
2020-03-06,0.01347909397204807
2020-03-13,-0.06334584425780251
2020-03-20,-0.06338381009269307
2020-03-27,0.062030826084235505
2020-04-03,-0.0070994278770566115
2020-04-10,0.03011299962438362
2020-04-17,-5.363834608678104e-05
2020-04-24,-0.005238043721120268
2020-05-01,-0.0028429618438480723
2020-05-08,0.0026059500811795337
2020-05-15,0.0007672161612356632
2020-05-22,0.005259681416831023
2020-05-29,0.0029511162386254867
2020-06-05,-0.000919587203584088
2020-06-12,0.0026269411543349123
2020-06-19,0.0029496477739140462
2020-06-26,0.000519141329669317
2020-07-03,0.0025388241180322674
2020-07-10,0.002198577562767117
2020-07-17,0.002027205569060494
2020-07-24,0.006696376082171777
2020-07-31,0.006627980559760282
2020-08-07,0.0062322758911623035
2020-08-14,-0.013477741184843415
2020-08-21,0.004367227271549761
2020-08-28,-0.0012158149127146365
2020-09-04,-0.0034646770542870703
2020-09-11,0.0016162544680946027
2020-09-18,0.001961563102003158
2020-09-25,-0.01033078824851467
2020-10-02,0.004523524268369904
2020-10-09,0.010132126698199713
2020-10-16,-0.0011015475946709577
2020-10-23,-0.0013541893835329088
2020-10-30,-0.019616830193480646
2020-11-06,0.029683224221720914
2020-11-13,0.006490394918440886
2020-11-20,0.004986001186326955
2020-11-27,0.003191029836559151
2020-12-04,-0.00032694562491186464
2020-12-11,0.002266355597190612
2020-12-18,0.0005771503463944681
2020-12-25,0.0005869728104197541
2021-01-01,0.0013678215338710884
2021-01-08,-0.004194235491129439
2021-01-15,1.1168582459461407e-05
2021-01-22,0.0011617659120205768
2021-01-29,-0.0009273310470943292
2021-02-05,-0.000356770168301731
2021-02-12,0.0007445074622413928
2021-02-19,-0.003954159339189138
2021-02-26,-0.004695385529626137
2021-03-05,-0.003104734650519925
2021-03-12,-0.0009234550500179939
2021-03-19,-0.0023279509681394675
2021-03-26,0.0027116421777342373
2021-04-02,0.0013501069846221705
2021-04-09,0.0013521159929395408
2021-04-16,0.0030635028548497614
2021-04-23,0.001848666912645418
2021-04-30,3.958799174276547e-05
2021-05-07,0.008990112741610353
2021-05-14,-0.0028786753787160956
2021-05-21,0.0005349835438834545
2021-05-28,0.002004956613083933
2021-06-04,0.0017114901036323368
2021-06-11,0.002100988412897848
2021-06-18,-0.004109475215166389
2021-06-25,-0.00041791338570412864
2021-07-02,0.0031384565945321804
2021-07-09,0.002085950495505237
2021-07-16,0.0005676948551436926
2021-07-23,0.0015975380894820055
2021-07-30,0.0014247145018542746
2021-08-06,-0.0029518129585423747
2021-08-13,0.00075297898373656
2021-08-20,-0.0004454357216032056
2021-08-27,0.0014118635253404705
2021-09-03,0.00023794849956901228
2021-09-10,-0.0007771453297726238
2021-09-17,-0.0014530636722302778
2021-09-24,-0.0031176412425501744
2021-10-01,-0.0009547338787695508
2021-10-08,-0.0054297760723558686
2021-10-15,0.004228455171600913
2021-10-22,-0.002265020875654287
2021-10-29,0.002166839780764941
2021-11-05,0.008582776478411637
2021-11-12,-0.003754798035451347
2021-11-19,-0.0020325478488365813
2021-11-26,-0.0077296009248530315
2021-12-03,0.0035387499205131526
2021-12-10,-0.00019968439418042517
2021-12-17,0.0012107934425934334
2021-12-24,0.0023268181666845442
2021-12-31,0.0013810648543203258
2022-01-07,-0.01251900743439189
2022-01-14,0.002051144149998627
2022-01-21,-0.0017288448687196704
2022-01-28,-0.005766404439784729
2022-02-04,-0.0036630744608937152
2022-02-11,0.00028499994896294997
2022-02-18,0.00015770664417204055
2022-02-25,-0.001283008425399094
2022-03-04,0.013560865753487313
2022-03-11,-0.020442293408234846
2022-03-18,-0.0010164578005287033
2022-03-25,-0.013621417442354055
2022-04-01,0.004866036581641131
2022-04-08,-0.014975808478737375
2022-04-15,-0.004433758487560116
2022-04-22,-0.007068452481754181
2022-04-29,-0.001666261575682107
2022-05-06,-0.005746068442844595
2022-05-13,0.0030088050914553015
2022-05-20,0.0037474153684526395
2022-05-27,0.014220804128335415
2022-06-03,-0.009204139902547445
2022-06-10,-0.014709171434390727
2022-06-17,-0.010293580066673191
2022-06-24,0.008164393762189106
2022-07-01,0.006687511333555478
2022-07-08,-0.012302372397750092
2022-07-15,0.0026808169953196834
2022-07-22,0.00974892038773311
2022-07-29,0.007575326887762685
2022-08-05,-0.008278548654222938
2022-08-12,0.006475568206091999
2022-08-19,-0.014213624794412195
2022-08-26,-0.00468564943742421
2022-09-02,-0.011916093606187159
2022-09-09,-0.0017728201742093982
2022-09-16,-0.008930479482171468
2022-09-23,-0.013468955878738614
2022-09-30,-0.00656749928163724
2022-10-07,0.0012453031035114756
2022-10-14,-0.010006666948699564
2022-10-21,-0.00195265118479021
2022-10-28,0.012640663803110764
2022-11-04,-0.0012785546609114838
2022-11-11,0.025801539674551215
2022-11-18,-0.0009578903067292678
2022-11-25,0.0075871938561084505
2022-12-02,0.01742751804032434
2022-12-09,-0.008683461411082618
2022-12-16,0.003718103379245554
2022-12-23,-0.012094214004141148
2022-12-30,-0.00811137252557661
2023-01-06,0.022637059522435027
2023-01-13,0.013027804690937344
2023-01-20,0.0010123836096461306
2023-01-27,0.00041350512154922375
2023-02-03,-0.002287594112924751
2023-02-10,-0.012651767771774292
2023-02-17,-0.004259679345429689
2023-02-24,-0.0079076356450425
2023-03-03,0.004997847617081723
2023-03-10,0.007057715386522463
2023-03-17,0.012868151725842103
2023-03-24,0.008133622771264584
2023-03-31,0.0036088266384234334
2023-04-07,0.008478168421812
2023-04-14,-0.004644942189466559
2023-04-21,-0.004388885946963412
2023-04-28,0.006017376879355291
2023-05-05,0.0005842865082957224
2023-05-12,-0.003310508785034954
2023-05-19,-0.011031024496018484
2023-05-26,-0.004987392372564047
2023-06-02,0.007267679979256677
2023-06-09,-0.0008102664787665516
2023-06-16,0.004633462145775196
2023-06-23,-0.0033072431358530086
2023-06-30,0.0011375579981121968
2023-07-07,-0.013671301684937014
2023-07-14,0.018586712719404604
2023-07-21,0.0015019797282164928
2023-07-28,-0.00018631450908163712
2023-08-04,-0.008441624734082966
2023-08-11,-0.006421012758842511
2023-08-18,-0.010778529007227738
2023-08-25,0.006764004200153444
2023-09-01,0.011740926421015933
2023-09-08,-0.005947205457450481
2023-09-15,0.00243104711485311
2023-09-22,-0.007128159020552546
2023-09-29,-0.017057602446932957
2023-10-06,-0.01342974721050986
2023-10-13,0.020099505343963132
2023-10-20,-0.0036925998807848036
2023-10-27,0.0005679146752708188
2023-11-03,0.014547868818692116
2023-11-10,-0.00929385755446624
2023-11-17,0.013893741477424958
2023-11-24,0.0024410756257928373
2023-12-01,0.016368127450812862
2023-12-08,-0.006492413213009355
2023-12-15,0.01775835292933924
2023-12-22,0.004603554579941396
2023-12-29,0.0022310230910567094
2024-01-05,-0.009163234479148682
2024-01-12,0.0083565644218568
2024-01-19,-0.00861304996642235
2024-01-26,0.0029856777037195483
2024-02-02,0.0030688301853351503
2024-02-09,-0.003493833564748909
2024-02-16,-0.005413863657673324
2024-02-23,0.004596303044118498
2024-03-01,0.006157763235936185
2024-03-08,0.008652178020854568
2024-03-15,-0.010206784631084318
2024-03-22,0.0076562578320301874
2024-03-29,0.0033997155325926577
2024-04-05,-0.006598388725691385
2024-04-12,-0.00758351849647283
2024-04-19,-0.0069999967173266725
2024-04-26,0.0018901933800310896
2024-05-03,0.007787670709876762
2024-05-10,0.002874415517082992
2024-05-17,0.008521119228015708
2024-05-24,-0.004072496424054636
2024-05-31,-0.0017719614387112083
2024-06-07,0.0015289141524255495
2024-06-14,0.011005354456028888
2024-06-21,-0.0001527793897240792
2024-06-28,-0.003907812888935153
2024-07-05,0.012030451571275521
2024-07-12,0.007733443795941135
2024-07-19,-0.007030768530189661
2024-07-26,0.001345390950752594
2024-08-02,0.017577305524377574
2024-08-09,-0.005725524575809867
2024-08-16,0.0110498562237748
2024-08-23,0.007543824147933609
2024-08-30,-0.005508116681656112
2024-09-06,0.006009651811864086
2024-09-13,0.009383521275072493
2024-09-20,0.0010724523892339435
2024-09-27,0.0026396902769985782
2024-10-04,-0.010018576257582904
2024-10-11,-0.00421039968204395
2024-10-18,0.0003358603247619277
2024-10-25,-0.008633980448783416
2024-11-01,-0.007668773225785754
2024-11-08,0.008222954469794272
2024-11-15,-0.013151086587322457
2024-11-22,0.005815784745392958
2024-11-29,0.012717499401905426
2024-12-06,0.0032758532112362733
2024-12-13,-0.009270153753809142
2024-12-20,-0.008114717714339378
2024-12-27,-0.0017625093414945956
2025-01-03,0.003176183272098759
2025-01-10,-0.004108095578322457
2025-01-17,0.010821904688206634
2025-01-24,0.0029002120290802682
2025-01-31,0.002853176358631331
2025-02-07,0.004002661847557229
2025-02-14,0.006464906960453421
2025-02-21,0.0019396309516404064
2025-02-28,0.00320285335971024
2025-03-07,-0.0011183114303232077
2025-03-14,-0.0023366293855023933
2025-03-21,0.004679774157311998
2025-03-28,-0.001908627400499421
2025-04-04,-0.007393823232936305
2025-04-11,-0.009088188357617818
2025-04-18,0.011692482350791272
2025-04-25,0.010122853249651233
2025-05-02,-0.0005100263446076056
2025-05-09,-0.0009271118864567189
2025-05-16,0.0004337166916459308
2025-05-23,-0.0023819906768910884
2025-05-30,0.007486327329331414
2025-06-06,-0.0027705488507099103
2025-06-13,0.0072542228257018865
2025-06-20,0.0021476267910889584
2025-06-27,0.006964631161631679
2025-07-04,0.0008751787893212937
2025-07-11,-0.0037522820797964438
2025-07-18,0.0015594291021672462
2025-07-25,0.003707128136462486
2025-08-01,0.0032951717615175777
2025-08-08,0.001995706029448146
2025-08-15,0.000949994805271235
2025-08-22,0.005490550364580782
2025-08-29,0.0009876942874293808
